CBLAS ; MiB/s
gcc0 ; 37207.099
gcc1 ; 38372.223
gcc2 ; 38422.999
gcc3 ; 38402.187
gccfast ; 38409.122
clang0 ; 17108.559
clang1 ; 38400.454
clang2 ; 38478.781
clang3 ; 38508.041
clangfast ; 38478.433
