CBLAS ; MiB/s
gcc0 ; 29254.967
gcc1 ; 31876.405
gcc2 ; 14262.505
gcc3 ; 32073.485
gccfast ; 14323.881
clang0 ; 30507.073
clang1 ; 14303.845
clang2 ; 32357.463
clang3 ; 32347.129
clangfast ; 14429.217
