BASE ; MiB/s
gcc0 ; 2824.174
gcc1 ; 4720.007
gcc2 ; 10620.110
gcc3 ; 10899.291
gccfast ; 21864.800
clang0 ; 2825.419
clang1 ; 10599.179
clang2 ; 10923.080
clang3 ; 10942.806
clangfast ; 27287.171
