CBLAS ; MiB/s
gcc0 ; 39029.617
gcc1 ; 39700.015
gcc2 ; 39698.163
gcc3 ; 39703.813
gccfast ; 39717.715
clang0 ; 39347.762
clang1 ; 39699.089
clang2 ; 39728.008
clang3 ; 39749.353
clangfast ; 39738.214
