BASE ; MiB/s
gcc0 ; 2793.680
gcc1 ; 10269.654
gcc2 ; 10290.786
gcc3 ; 10314.500
gccfast ; 20590.682
clang0 ; 2798.515
clang1 ; 10291.275
clang2 ; 10332.944
clang3 ; 10317.346
clangfast ; 55033.977
