CBLAS ; MiB/s
gcc0 ; 40709.988
gcc1 ; 40791.283
gcc2 ; 40832.592
gcc3 ; 40801.676
gccfast ; 40743.801
clang0 ; 40792.396
clang1 ; 40828.269
clang2 ; 40838.692
clang3 ; 40823.114
clangfast ; 40825.085
