BASE ; MiB/s
gcc0 ; 2799.501
gcc1 ; 10361.210
gcc2 ; 10346.701
gcc3 ; 10426.490
gccfast ; 20848.113
clang0 ; 2799.131
clang1 ; 10335.181
clang2 ; 10412.039
clang3 ; 10416.514
clangfast ; 24618.724
