BASE ; MiB/s
gcc0 ; 2916.879
gcc1 ; 11789.030
gcc2 ; 11790.206
gcc3 ; 13432.823
gccfast ; 13158.256
clang0 ; 2921.567
clang1 ; 11845.757
clang2 ; 13446.410
clang3 ; 13558.008
clangfast ; 24685.512
