BASE ; MiB/s
gcc0 ; 2797.432
gcc1 ; 10253.513
gcc2 ; 10245.459
gcc3 ; 10263.868
gccfast ; 20517.634
clang0 ; 2797.975
clang1 ; 10253.273
clang2 ; 10264.888
clang3 ; 10258.251
clangfast ; 54676.876
