     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;          96.000;           0.094;           0.000;         64;         33;       86061.788;       86812.879;       86298.975;         165.315 ( 0.192 %);    362.113
       IKJ;          96.000;           0.094;           0.000;         64;         33;       38207.727;       38556.879;       38375.978;          99.273 ( 0.259 %);    814.311
       IEX;          96.000;           0.094;           0.000;         64;         33;       39620.394;       39916.727;       39766.501;          64.939 ( 0.163 %);    785.837
   UNROLL4;          96.000;           0.094;           0.000;         64;         33;       51488.121;       52547.364;       52161.787;         401.268 ( 0.769 %);    599.098
   UNROLL8;          96.000;           0.094;           0.000;         64;         33;       47057.091;       47486.667;       47265.981;         117.426 ( 0.248 %);    661.152
     CBLAS;          96.000;           0.094;           0.000;         64;         33;       33398.121;       35068.515;       33515.489;         285.810 ( 0.853 %);    932.405
