     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;          24.000;           0.023;           0.000;         32;         33;        8660.182;        9177.515;        8724.191;         115.472 ( 1.324 %);    895.499
       IKJ;          24.000;           0.023;           0.000;         32;         33;        5062.212;        5250.758;        5075.944;          41.318 ( 0.814 %);   1539.123
       IEX;          24.000;           0.023;           0.000;         32;         33;        5317.242;        5650.303;        5341.105;          66.155 ( 1.239 %);   1462.712
   UNROLL4;          24.000;           0.023;           0.000;         32;         33;        7046.545;        7160.394;        7068.108;          40.184 ( 0.569 %);   1105.317
   UNROLL8;          24.000;           0.023;           0.000;         32;         33;        6319.121;        6824.606;        6348.576;          92.026 ( 1.450 %);   1230.591
     CBLAS;          24.000;           0.023;           0.000;         32;         33;        7659.212;        8240.000;        7703.232;         104.887 ( 1.362 %);   1014.185
