     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;         384.000;           0.375;           0.000;        128;         33;     2034398.485;     2041196.091;     2035711.622;        1130.722 ( 0.056 %);     61.404
       IKJ;         384.000;           0.375;           0.000;        128;         33;      396173.303;      396978.758;      396646.407;         205.320 ( 0.052 %);    315.142
       IEX;         384.000;           0.375;           0.000;        128;         33;      396148.091;      397043.424;      396573.200;         183.805 ( 0.046 %);    315.200
   UNROLL4;         384.000;           0.375;           0.000;        128;         33;      663506.394;      664498.848;      664088.276;         201.393 ( 0.030 %);    188.228
   UNROLL8;         384.000;           0.375;           0.000;        128;         33;      698811.424;      702102.455;      700192.673;        1092.133 ( 0.156 %);    178.522
     CBLAS;         384.000;           0.375;           0.000;        128;         33;      255267.727;      259995.970;      255702.480;         788.015 ( 0.308 %);    488.849
