     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;          24.000;           0.023;           0.000;         32;         33;       18162.879;       18448.273;       18244.788;          70.877 ( 0.388 %);    428.204
       IKJ;          24.000;           0.023;           0.000;         32;         33;        6610.879;        6773.333;        6643.098;          47.245 ( 0.711 %);   1176.033
       IEX;          24.000;           0.023;           0.000;         32;         33;        6611.182;        6820.970;        6635.443;          48.910 ( 0.737 %);   1177.389
   UNROLL4;          24.000;           0.023;           0.000;         32;         33;       11367.970;       11534.364;       11403.710;          54.938 ( 0.482 %);    685.084
   UNROLL8;          24.000;           0.023;           0.000;         32;         33;       11704.667;       11951.818;       11736.833;          55.608 ( 0.474 %);    665.640
     CBLAS;          24.000;           0.023;           0.000;         32;         33;        7659.818;        8153.788;        7689.073;          90.118 ( 1.172 %);   1016.052
