     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;          24.000;           0.023;           0.000;         32;         33;       18566.636;       19499.030;       18669.225;         181.871 ( 0.974 %);    418.469
       IKJ;          24.000;           0.023;           0.000;         32;         33;       26097.424;       26463.909;       26212.919;          89.356 ( 0.341 %);    298.040
       IEX;          24.000;           0.023;           0.000;         32;         33;       17153.697;       17465.182;       17235.010;          81.164 ( 0.471 %);    453.292
   UNROLL4;          24.000;           0.023;           0.000;         32;         33;        9418.879;        9656.606;        9475.189;          75.276 ( 0.794 %);    824.522
   UNROLL8;          24.000;           0.023;           0.000;         32;         33;        9165.667;        9267.697;        9174.036;          21.784 ( 0.237 %);    851.588
     CBLAS;          24.000;           0.023;           0.000;         32;         33;        7663.152;        8133.727;        7695.613;          84.435 ( 1.097 %);   1015.189
