     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           6.000;           0.006;           0.000;         16;         33;       14283.152;       14747.061;       14338.224;          88.802 ( 0.619 %);    136.218
       IKJ;           6.000;           0.006;           0.000;         16;         33;       14224.848;       14353.606;       14251.883;          47.101 ( 0.330 %);    137.043
       IEX;           6.000;           0.006;           0.000;         16;         33;       11601.455;       11779.061;       11630.703;          52.291 ( 0.450 %);    167.928
   UNROLL4;           6.000;           0.006;           0.000;         16;         33;       10847.939;       11023.091;       10882.503;          50.736 ( 0.466 %);    179.474
   UNROLL8;           6.000;           0.006;           0.000;         16;         33;       13869.667;       14202.727;       14033.898;          78.550 ( 0.560 %);    139.172
     CBLAS;           6.000;           0.006;           0.000;         16;         33;        1085.364;        1413.273;        1098.941;          59.667 ( 5.430 %);   1777.279
