     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;          96.000;           0.094;           0.000;         64;         33;      140421.970;      141184.273;      140704.589;         168.808 ( 0.120 %);    222.097
       IKJ;          96.000;           0.094;           0.000;         64;         33;       80377.182;       81238.788;       80573.918;         155.578 ( 0.193 %);    387.843
       IEX;          96.000;           0.094;           0.000;         64;         33;       79677.091;       81043.879;       80148.770;         359.107 ( 0.448 %);    389.900
   UNROLL4;          96.000;           0.094;           0.000;         64;         33;       94906.545;       95277.879;       95106.310;          94.624 ( 0.099 %);    328.580
   UNROLL8;          96.000;           0.094;           0.000;         64;         33;       96538.697;       96976.818;       96742.390;          96.989 ( 0.100 %);    323.023
     CBLAS;          96.000;           0.094;           0.000;         64;         33;       33489.818;       35342.667;       33612.936;         321.371 ( 0.956 %);    929.702
