     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           6.000;           0.006;           0.000;         16;         33;        1163.091;        1170.970;        1164.240;           1.291 ( 0.111 %);   1677.597
       IKJ;           6.000;           0.006;           0.000;         16;         33;         718.303;         726.515;         718.823;           1.391 ( 0.194 %);   2717.116
       IEX;           6.000;           0.006;           0.000;         16;         33;         782.061;         812.455;         784.134;           7.153 ( 0.912 %);   2490.805
   UNROLL4;           6.000;           0.006;           0.000;         16;         33;        1026.152;        1067.758;        1030.961;           6.768 ( 0.656 %);   1894.470
   UNROLL8;           6.000;           0.006;           0.000;         16;         33;         907.455;         968.485;         911.050;          13.559 ( 1.488 %);   2143.819
     CBLAS;           6.000;           0.006;           0.000;         16;         33;        1085.364;        1385.333;        1097.990;          53.838 ( 4.903 %);   1778.819
