     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;           1.500;           0.001;           0.000;          8;         33;         458.121;         475.121;         459.623;           2.817 ( 0.613 %);   1062.353
       IKJ;           1.500;           0.001;           0.000;          8;         33;         157.848;         161.515;         158.267;           0.600 ( 0.379 %);   3085.170
       IEX;           1.500;           0.001;           0.000;          8;         33;         357.636;         366.152;         358.351;           1.444 ( 0.403 %);   1362.579
   UNROLL4;           1.500;           0.001;           0.000;          8;         33;         270.515;         279.303;         272.163;           1.470 ( 0.540 %);   1794.074
   UNROLL8;           1.500;           0.001;           0.000;          8;         33;         191.242;         194.303;         191.664;           0.638 ( 0.333 %);   2547.591
     CBLAS;           1.500;           0.001;           0.000;          8;         33;         195.212;         449.939;         203.109;          44.311 (21.816 %);   2404.032
