     title;             KiB;             MiB;             GiB;          n;          r;             min;             max;            mean;                 stddev (%);      MiB/s
       IJK;          96.000;           0.094;           0.000;         64;         33;      902070.667;      920356.788;      903281.873;        3087.538 ( 0.342 %);     34.596
       IKJ;          96.000;           0.094;           0.000;         64;         33;      895969.212;      897649.333;      896719.231;         329.027 ( 0.037 %);     34.849
       IEX;          96.000;           0.094;           0.000;         64;         33;      719617.121;      721053.758;      720359.722;         332.900 ( 0.046 %);     43.381
   UNROLL4;          96.000;           0.094;           0.000;         64;         33;      670950.667;      672760.121;      671863.176;         382.745 ( 0.057 %);     46.512
   UNROLL8;          96.000;           0.094;           0.000;         64;         33;      667439.848;      669617.273;      668519.934;         523.589 ( 0.078 %);     46.745
     CBLAS;          96.000;           0.094;           0.000;         64;         33;       33383.242;       35470.182;       33530.524;         354.241 ( 1.056 %);    931.987
