CBLAS ; MiB/s
gcc0 ; 10318.078
gcc1 ; 10324.915
gcc2 ; 10350.766
gcc3 ; 10342.525
gccfast ; 10347.216
clang0 ; 10336.506
clang1 ; 10322.647
clang2 ; 10353.651
clang3 ; 10341.393
clangfast ; 10347.858
