CBLAS ; MiB/s
gcc0 ; 10253.405
gcc1 ; 10253.537
gcc2 ; 10259.523
gcc3 ; 10255.555
gccfast ; 10242.491
clang0 ; 10248.113
clang1 ; 10245.689
clang2 ; 10258.234
clang3 ; 10255.005
clangfast ; 10197.743
