CBLAS ; MiB/s
gcc0 ; 10259.046
gcc1 ; 10271.036
gcc2 ; 10239.842
gcc3 ; 10263.575
gccfast ; 10241.292
clang0 ; 10247.827
clang1 ; 10234.919
clang2 ; 10254.061
clang3 ; 10259.932
clangfast ; 10243.962
