BASE ; MiB/s
gcc0 ; 2796.132
gcc1 ; 10240.463
gcc2 ; 10245.464
gcc3 ; 10257.185
gccfast ; 20497.294
clang0 ; 2795.257
clang1 ; 10234.874
clang2 ; 10237.012
clang3 ; 10241.262
clangfast ; 40458.461
