BASE ; MiB/s
gcc0 ; 2795.760
gcc1 ; 10236.006
gcc2 ; 10233.385
gcc3 ; 10225.164
gccfast ; 20477.964
clang0 ; 2795.488
clang1 ; 10240.963
clang2 ; 10231.857
clang3 ; 10230.765
clangfast ; 40233.135
