BASE ; MiB/s
gcc0 ; 2793.109
gcc1 ; 10239.703
gcc2 ; 10266.353
gcc3 ; 10275.123
gccfast ; 20488.657
clang0 ; 2796.172
clang1 ; 10259.094
clang2 ; 10264.396
clang3 ; 10281.498
clangfast ; 40946.992
