BASE ; MiB/s
gcc0 ; 2799.755
gcc1 ; 10393.189
gcc2 ; 10426.087
gcc3 ; 10588.718
gccfast ; 9376.426
clang0 ; 2797.051
clang1 ; 10426.087
clang2 ; 10563.554
clang3 ; 10563.987
clangfast ; 40787.055
