BASE ; MiB/s
gcc0 ; 2791.975
gcc1 ; 10304.575
gcc2 ; 10319.674
gcc3 ; 10398.194
gccfast ; 20758.863
clang0 ; 2795.736
clang1 ; 10317.840
clang2 ; 10405.010
clang3 ; 10385.913
clangfast ; 18087.970
