BASE ; MiB/s
gcc0 ; 2855.070
gcc1 ; 4957.193
gcc2 ; 5190.121
gcc3 ; 13470.766
gccfast ; 12608.052
clang0 ; 2851.075
clang1 ; 11666.044
clang2 ; 13296.781
clang3 ; 13411.140
clangfast ; 19274.959
