BASE ; MiB/s
gcc0 ; 2809.231
gcc1 ; 10531.061
gcc2 ; 10579.093
gcc3 ; 10903.175
gccfast ; 21486.220
clang0 ; 2807.722
clang1 ; 4701.025
clang2 ; 10867.215
clang3 ; 10866.355
clangfast ; 42496.566
