CBLAS ; MiB/s
gcc0 ; 10241.292
gcc1 ; 10240.566
gcc2 ; 10240.543
gcc3 ; 10242.388
gccfast ; 10247.223
clang0 ; 10241.073
clang1 ; 10250.362
clang2 ; 10234.873
clang3 ; 10254.611
clangfast ; 10229.340
