CBLAS ; MiB/s
gcc0 ; 10374.116
gcc1 ; 10410.778
gcc2 ; 10442.211
gcc3 ; 10443.544
gccfast ; 10385.310
clang0 ; 10393.379
clang1 ; 10377.938
clang2 ; 10403.318
clang3 ; 10390.714
clangfast ; 10434.834
