BASE ; MiB/s
gcc0 ; 2794.022
gcc1 ; 10275.496
gcc2 ; 10273.628
gcc3 ; 10326.973
gccfast ; 20670.877
clang0 ; 2796.376
clang1 ; 10277.178
clang2 ; 10288.226
clang3 ; 10308.982
clangfast ; 40940.391
