CBLAS ; MiB/s
gcc0 ; 10265.360
gcc1 ; 10287.467
gcc2 ; 10296.649
gcc3 ; 10297.646
gccfast ; 10298.775
clang0 ; 10231.141
clang1 ; 10262.853
clang2 ; 10275.452
clang3 ; 10278.761
clangfast ; 10300.570
