CBLAS ; MiB/s
gcc0 ; 10262.023
gcc1 ; 10245.862
gcc2 ; 10254.064
gcc3 ; 10258.797
gccfast ; 10243.388
clang0 ; 10237.835
clang1 ; 10265.469
clang2 ; 10274.878
clang3 ; 10251.179
clangfast ; 10247.441
