BASE ; MiB/s
gcc0 ; 2829.061
gcc1 ; 10795.018
gcc2 ; 10827.605
gcc3 ; 11560.407
gccfast ; 10258.435
clang0 ; 2825.720
clang1 ; 10931.951
clang2 ; 11642.863
clang3 ; 11624.346
clangfast ; 19462.443
