BASE ; MiB/s
gcc0 ; 2794.389
gcc1 ; 10259.116
gcc2 ; 10264.995
gcc3 ; 10272.194
gccfast ; 20500.015
clang0 ; 2793.670
clang1 ; 10241.756
clang2 ; 10262.466
clang3 ; 10264.754
clangfast ; 40597.112
