UNROLL4 ; MiB/s
gcc0 ; 1698.454
gcc1 ; 18076.499
gcc2 ; 18125.794
gcc3 ; 7513.824
gccfast ; 
clang0 ; 1622.816
clang1 ; 6745.893
clang2 ; 6287.701
clang3 ; 8108.733
clangfast ; 7437.315
