     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          64.000;           0.062;           0.000;       4096;         33;      409016.603;        1511.303;        1521.030;        1511.789;           1.676 ( 0.111 %);  20670.877
   UNROLL4;          64.000;           0.062;           0.000;       4096;         33;      542914.408;        1269.333;        1380.788;        1274.795;          19.054 ( 1.495 %);  24513.741
   UNROLL8;          64.000;           0.062;           0.000;       4096;         33;      743988.949;        1936.061;        2049.000;        1942.701;          19.204 ( 0.989 %);  16085.855
     CBLAS;          64.000;           0.062;           0.000;       4096;         33;      625127.643;        3035.091;        3146.515;        3050.748;          35.223 ( 1.155 %);  10243.388
