     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;         128.000;           0.125;           0.000;       8192;         33;      595691.095;        1522.545;        1633.970;        1526.364;          19.356 ( 1.268 %);  40946.992
   UNROLL4;         128.000;           0.125;           0.000;       8192;         33;      899211.190;        2035.030;        2146.758;        2041.231;          23.169 ( 1.135 %);  30618.772
   UNROLL8;         128.000;           0.125;           0.000;       8192;         33;     1793856.641;        2041.424;        2155.848;        2058.225;          24.086 ( 1.170 %);  30365.971
     CBLAS;         128.000;           0.125;           0.000;       8192;         33;      753037.133;        6075.636;        6310.636;        6101.155;          58.822 ( 0.964 %);  10243.962
