     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;         128.000;           0.125;           0.000;       8192;         33;      685146.982;        6058.333;        6237.455;        6082.652;          50.383 ( 0.828 %);  10275.123
   UNROLL4;         128.000;           0.125;           0.000;       8192;         33;      663606.376;        6062.273;        6173.727;        6074.803;          34.306 ( 0.565 %);  10288.400
   UNROLL8;         128.000;           0.125;           0.000;       8192;         33;     1688707.981;        6061.364;        6173.091;        6076.682;          36.446 ( 0.600 %);  10285.218
     CBLAS;         128.000;           0.125;           0.000;       8192;         33;      552662.144;        6075.333;        6186.758;        6089.496;          34.687 ( 0.570 %);  10263.575
