     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           1.000;           0.001;           0.000;         64;         33;        2403.298;          75.879;          82.909;          76.241;           1.214 ( 1.592 %);   6404.479
   UNROLL4;           1.000;           0.001;           0.000;         64;         33;       23908.836;          29.727;          31.273;          29.893;           0.285 ( 0.953 %);  16334.540
   UNROLL8;           1.000;           0.001;           0.000;         64;         33;       10346.821;          67.091;          69.848;          67.179;           0.479 ( 0.714 %);   7268.355
     CBLAS;           1.000;           0.001;           0.000;         64;         33;        2181.320;          92.273;         168.788;          94.704;          13.302 (14.046 %);   5155.850
