     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;         128.000;           0.125;           0.000;       8192;         33;      828577.843;        6070.455;        6351.939;        6092.156;          58.565 ( 0.961 %);  10259.094
   UNROLL4;         128.000;           0.125;           0.000;       8192;         33;      497449.919;        6059.242;        6170.970;        6069.330;          31.365 ( 0.517 %);  10297.678
   UNROLL8;         128.000;           0.125;           0.000;       8192;         33;     1090819.680;        6059.242;        6196.788;        6071.178;          35.060 ( 0.577 %);  10294.542
     CBLAS;         128.000;           0.125;           0.000;       8192;         33;      581153.316;        6076.242;        6516.152;        6106.545;          87.108 ( 1.426 %);  10234.919
