     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.125;           0.000;           0.000;          8;         33;          32.570;           7.879;          15.788;           8.292;           1.363 (16.435 %);   7360.718
   UNROLL4;           0.125;           0.000;           0.000;          8;         33;         118.444;           7.273;          10.939;           8.207;           0.607 ( 7.395 %);   7437.315
   UNROLL8;           0.125;           0.000;           0.000;          8;         33;          71.629;           6.364;           8.182;           6.477;           0.335 ( 5.175 %);   9423.974
     CBLAS;           0.125;           0.000;           0.000;          8;         33;          60.006;          18.212;          85.909;          20.473;          11.749 (57.389 %);   2981.264
