     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           2.000;           0.002;           0.000;        128;         33;        3454.035;          50.091;          60.121;          50.665;           1.718 ( 3.392 %);  19274.959
   UNROLL4;           2.000;           0.002;           0.000;        128;         33;       15770.002;          73.152;          78.636;          73.342;           0.952 ( 1.298 %);  13315.261
   UNROLL8;           2.000;           0.002;           0.000;        128;         33;        2495.692;          97.455;         103.515;          97.933;           1.011 ( 1.032 %);   9971.744
     CBLAS;           2.000;           0.002;           0.000;        128;         33;       11072.719;         198.545;         265.667;         200.606;          11.680 ( 5.822 %);   4868.061
