     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          32.000;           0.031;           0.000;       2048;         33;     3012071.827;        5569.242;        5749.576;        5588.868;          46.872 ( 0.839 %);   2795.736
   UNROLL4;          32.000;           0.031;           0.000;       2048;         33;      372606.291;        5576.818;        5953.000;        5595.760;          69.127 ( 1.235 %);   2792.293
   UNROLL8;          32.000;           0.031;           0.000;       2048;         33;      263349.870;        5589.576;        5703.727;        5604.263;          33.733 ( 0.602 %);   2788.056
     CBLAS;          32.000;           0.031;           0.000;       2048;         33;      102273.741;        1518.909;        1597.848;        1527.200;          22.285 ( 1.459 %);  10231.141
