     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.500;           0.000;           0.000;         32;         33;        2248.352;          27.606;          35.212;          27.939;           1.313 ( 4.698 %);   8738.222
   UNROLL4;           0.500;           0.000;           0.000;         32;         33;         707.208;          27.000;          30.970;          27.286;           0.682 ( 2.501 %);   8947.605
   UNROLL8;           0.500;           0.000;           0.000;         32;         33;         983.976;          27.303;          30.667;          27.666;           0.557 ( 2.014 %);   8824.653
     CBLAS;           0.500;           0.000;           0.000;         32;         33;         341.045;          47.636;         122.667;          50.149;          13.037 (25.996 %);   4868.328
