     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          16.000;           0.016;           0.000;       1024;         33;      103054.270;         751.394;         753.212;         751.694;           0.303 ( 0.040 %);  10393.189
   UNROLL4;          16.000;           0.016;           0.000;       1024;         33;       97456.672;         738.333;         740.182;         738.475;           0.332 ( 0.045 %);  10579.238
   UNROLL8;          16.000;           0.016;           0.000;       1024;         33;      111445.282;         738.030;         738.970;         738.345;           0.164 ( 0.022 %);  10581.093
     CBLAS;          16.000;           0.016;           0.000;       1024;         33;       42374.073;         754.727;         809.091;         756.665;           9.412 ( 1.244 %);  10324.915
