     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;         128.000;           0.125;           0.000;       8192;         33;     2047312.789;        6070.152;        6212.273;        6087.848;          42.405 ( 0.697 %);  10266.353
   UNROLL4;         128.000;           0.125;           0.000;       8192;         33;      497794.477;        6058.636;        6170.364;        6071.419;          34.662 ( 0.571 %);  10294.134
   UNROLL8;         128.000;           0.125;           0.000;       8192;         33;      738723.635;        6059.242;        6170.970;        6072.558;          32.959 ( 0.543 %);  10292.203
     CBLAS;         128.000;           0.125;           0.000;       8192;         33;     1413341.655;        6074.727;        6356.788;        6103.610;          65.166 ( 1.068 %);  10239.842
