     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          32.000;           0.031;           0.000;       2048;         33;      801065.498;        1499.152;        1559.909;        1502.665;          13.537 ( 0.901 %);  10398.194
   UNROLL4;          32.000;           0.031;           0.000;       2048;         33;      123887.291;        1502.515;        1612.121;        1506.114;          19.033 ( 1.264 %);  10374.382
   UNROLL8;          32.000;           0.031;           0.000;       2048;         33;      632545.778;        1501.909;        1608.788;        1509.481;          22.445 ( 1.487 %);  10351.239
     CBLAS;          32.000;           0.031;           0.000;       2048;         33;      104638.210;        1514.939;        1587.515;        1517.337;          12.600 ( 0.830 %);  10297.646
