     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;         128.000;           0.125;           0.000;       8192;         33;      597601.630;        3031.121;        3214.212;        3050.468;          42.090 ( 1.380 %);  20488.657
   UNROLL4;         128.000;           0.125;           0.000;       8192;         33;      495536.614;        2530.182;        2647.697;        2537.405;          19.863 ( 0.783 %);  24631.464
   UNROLL8;         128.000;           0.125;           0.000;       8192;         33;      509433.033;        3914.000;        4029.061;        3929.402;          31.511 ( 0.802 %);  15905.727
     CBLAS;         128.000;           0.125;           0.000;       8192;         33;     1123815.395;        6074.727;        6296.333;        6102.746;          54.184 ( 0.888 %);  10241.292
