     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;         512.000;           0.500;           0.000;      32768;         33;     4143130.276;       24305.606;       24680.242;       24373.160;          92.993 ( 0.382 %);  10257.185
   UNROLL4;         512.000;           0.500;           0.000;      32768;         33;    10811613.779;       24303.758;       24508.697;       24349.532;          65.315 ( 0.268 %);  10267.138
   UNROLL8;         512.000;           0.500;           0.000;      32768;         33;     2012780.521;       24308.030;       24548.485;       24368.761;          74.610 ( 0.306 %);  10259.036
     CBLAS;         512.000;           0.500;           0.000;      32768;         33;    28197665.238;       24336.879;       24553.030;       24400.547;          73.681 ( 0.302 %);  10245.672
