     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          64.000;           0.062;           0.000;       4096;         33;      610904.101;        3021.121;        3132.545;        3031.337;          32.502 ( 1.072 %);  10308.982
   UNROLL4;          64.000;           0.062;           0.000;       4096;         33;     2869606.146;        3019.909;        3154.121;        3030.803;          31.931 ( 1.054 %);  10310.800
   UNROLL8;          64.000;           0.062;           0.000;       4096;         33;      644284.618;        3019.576;        3246.697;        3029.895;          43.452 ( 1.434 %);  10313.888
     CBLAS;          64.000;           0.062;           0.000;       4096;         33;      270996.220;        3035.394;        3233.030;        3048.430;          42.827 ( 1.405 %);  10251.179
