     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           0.500;           0.000;           0.000;         32;         33;         578.763;          16.697;          20.333;          16.991;           0.618 ( 3.636 %);  14368.975
   UNROLL4;           0.500;           0.000;           0.000;         32;         33;         673.426;          12.121;          13.970;          12.198;           0.318 ( 2.609 %);  20014.238
   UNROLL8;           0.500;           0.000;           0.000;         32;         33;         713.291;          27.606;          30.667;          27.730;           0.530 ( 1.912 %);   8804.197
     CBLAS;           0.500;           0.000;           0.000;         32;         33;         311.942;          47.939;         121.121;          50.479;          12.686 (25.132 %);   4836.447
