     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;         256.000;           0.250;           0.000;      16384;         33;     9376730.847;        3063.000;        3192.939;        3079.037;          33.475 ( 1.087 %);  40597.112
   UNROLL4;         256.000;           0.250;           0.000;      16384;         33;     3089710.247;        4078.242;        4233.091;        4091.404;          35.077 ( 0.857 %);  30551.859
   UNROLL8;         256.000;           0.250;           0.000;      16384;         33;     1810913.460;        4169.030;        4341.182;        4201.116;          42.883 ( 1.021 %);  29754.001
     CBLAS;         256.000;           0.250;           0.000;      16384;         33;    59654558.680;       12210.485;       12403.576;       12257.614;          57.461 ( 0.469 %);  10197.743
