     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          64.000;           0.062;           0.000;       4096;         33;      169096.569;        3019.000;        3130.727;        3026.056;          26.963 ( 0.891 %);  10326.973
   UNROLL4;          64.000;           0.062;           0.000;       4096;         33;      642780.712;        3022.333;        3124.636;        3026.026;          17.783 ( 0.588 %);  10327.077
   UNROLL8;          64.000;           0.062;           0.000;       4096;         33;      360120.745;        3021.727;        3187.485;        3033.165;          32.434 ( 1.069 %);  10302.769
     CBLAS;          64.000;           0.062;           0.000;       4096;         33;      391339.756;        3034.788;        3146.515;        3046.166;          30.674 ( 1.007 %);  10258.797
