     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;         512.000;           0.500;           0.000;      32768;         33;     3475010.009;       89184.000;       90008.879;       89409.220;         202.439 ( 0.226 %);   2796.132
   UNROLL4;         512.000;           0.500;           0.000;      32768;         33;     2849735.249;       89161.818;       89608.727;       89335.233;         108.772 ( 0.122 %);   2798.448
   UNROLL8;         512.000;           0.500;           0.000;      32768;         33;     4604492.721;       89385.879;       89874.970;       89534.414;          98.494 ( 0.110 %);   2792.222
     CBLAS;         512.000;           0.500;           0.000;      32768;         33;     2206805.706;       24325.970;       24605.848;       24395.736;          73.196 ( 0.300 %);  10247.693
