     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;          32.000;           0.031;           0.000;       2048;         33;      148536.544;        1512.818;        1614.848;        1516.317;          17.766 ( 1.172 %);  10304.575
   UNROLL4;          32.000;           0.031;           0.000;       2048;         33;      131566.194;        1498.848;        1581.758;        1502.507;          15.056 ( 1.002 %);  10399.287
   UNROLL8;          32.000;           0.031;           0.000;       2048;         33;      129438.100;        1499.152;        1600.879;        1502.654;          17.715 ( 1.179 %);  10398.270
     CBLAS;          32.000;           0.031;           0.000;       2048;         33;      198578.831;        1516.788;        1579.303;        1518.838;          10.856 ( 0.715 %);  10287.467
