     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           4.000;           0.004;           0.000;        256;         33;       50656.362;         180.030;         182.455;         180.384;           0.379 ( 0.210 %);  10827.605
   UNROLL4;           4.000;           0.004;           0.000;        256;         33;        7581.967;         168.182;         169.121;         168.379;           0.203 ( 0.120 %);  11599.559
   UNROLL8;           4.000;           0.004;           0.000;        256;         33;       11521.810;         378.576;         380.424;         378.819;           0.324 ( 0.086 %);   5155.825
     CBLAS;           4.000;           0.004;           0.000;        256;         33;       22415.552;         182.758;         218.879;         184.073;           6.250 ( 3.395 %);  10610.574
