     title;             KiB;             MiB;             GiB;          n;          r;               d;             min;             max;            mean;                 stddev (%);      MiB/s
      BASE;           8.000;           0.008;           0.000;        512;         33;       65664.220;         370.697;         376.455;         370.927;           0.999 ( 0.269 %);  10531.061
   UNROLL4;           8.000;           0.008;           0.000;        512;         33;      248814.532;         358.242;         367.970;         358.792;           1.662 ( 0.463 %);  10887.213
   UNROLL8;           8.000;           0.008;           0.000;        512;         33;       45401.026;         358.242;         358.848;         358.349;           0.164 ( 0.046 %);  10900.688
     CBLAS;           8.000;           0.008;           0.000;        512;         33;       22117.956;         374.030;         408.939;         375.212;           6.056 ( 1.614 %);  10410.778
